participant_id,group,age,mean_participation,mean_abs_zscore,rc_norm_k2,rc_norm_k3,rc_norm_k4,rc_norm_k5,rc_norm_k6,rc_norm_k7,rc_norm_k8
sub-pixar001,child,4.774811773,0.2658064645258007,0.7649028591268118,1.0091393754760078,1.0050251256281437,0.996793261986631,0.9504343382728676,1.0220820189274447,0.9150633505396523,1.740391588107323
sub-pixar023,child,3.865845311,0.27725510534008657,0.7529124818281596,1.0278642100479007,1.0561218224241695,1.0754133620110242,1.2987012987013011,1.2974802557352392,1.311680199875078,1.3613310792775166
sub-pixar022,child,3.822039699,0.14047255694441843,0.7630000963936374,1.0185094505925005,1.0270308822480547,1.0305112143867476,1.0054334027319343,1.0151730160462815,0.9674922600619238,0.9806592209207303
sub-pixar021,child,4.364134155,0.3141708000726759,0.7375984383915611,1.0085030650583384,1.0273103914771307,1.0442773600668345,1.0699113651859233,1.2008128579346025,1.3703844689760192,1.5086863761048461
sub-pixar020,child,3.594798084,0.3362447270942942,0.8319290717920083,1.0177006012158654,1.0168084664868233,1.0445192081996717,1.0605391073795845,1.171562971509719,1.3173188686555604,1.3286499694563227
sub-pixar019,child,3.969883641,0.035577217395399215,0.5187032099880079,1.0386843331779747,1.0597434666300907,1.0607808836118635,1.0607808836118635,1.1331573677983087,1.4290818149339057,1.440576230492197
sub-pixar018,child,4.577686516,0.2619638005226029,0.751936285318717,1.0070527600705281,1.0552525492055982,1.0530227948463835,1.1103581295939131,1.2805463664496863,1.430215354265987,1.3679619349722438
sub-pixar017,child,3.613963039,0.312255468530721,0.853264324644091,0.999295368650309,1.0059292578204866,1.030523113161251,1.1699779249448128,1.228851291184327,1.3298565840938723,1.2222725215029426
sub-pixar016,child,3.622176591,0.2414397613369475,0.7738353038805169,0.9990858038396259,1.0341180618120573,1.0326329906124272,1.3401403956604983,1.331153666510975,1.331153666510975,1.5124676386428675
sub-pixar015,child,4.76659822,0.24938711060464305,0.7766053240182834,0.9994554249287226,1.0327635327635338,1.0888480087505576,1.2069085107858766,1.294165981922763,1.3201320132013201,1.4228383801532318
sub-pixar014,child,3.635865845,0.3053736680318005,0.7804396372732659,1.0375596596804342,1.1123470522803096,1.1225035230088938,1.1064626224815621,1.1557130749672548,1.0969976905311802,1.0803858520900322
sub-pixar024,child,4.057494867,0.3270591547701937,0.6960452114016711,1.0172250101722504,1.0144249793158027,1.0364145658263297,1.1914675549292149,1.2123522683949688,1.3204508856682777,1.276595744680852
sub-pixar013,child,3.849418207,0.27229545079472933,0.7084058970071705,1.0279494759473222,1.0279494759473222,1.0466439135381123,1.0406193444600904,1.036299765807963,1.0097431355181576,1.0097431355181576
sub-pixar011,child,3.983572895,0.15585726115848772,0.8121162439228993,1.0172724382748763,1.0663354888441623,1.0752206442363668,1.0833827413356325,1.1407567019456248,1.3063926145270868,1.4478764478764492
sub-pixar010,child,4.358658453,0.358260712937265,0.7614723053121506,0.998302885095338,1.014766858223615,1.0914760914760937,1.0987357013847086,1.171801171801174,1.1882426516572844,1.3583441138421726
sub-pixar009,child,3.518138261,0.26406619608279064,0.8167564921777425,0.9980371935194046,1.0238907849829355,1.0229306964453198,1.060931899641577,1.1451122468784367,1.220117051879774,1.0158013544018063
sub-pixar008,child,3.529089665,0.3137034029782947,0.7977918309182257,1.0088272383354275,1.0422490216436415,1.0542168674698824,1.0645848119233503,1.269604182225541,1.651722510618215,1.9445444724522865
sub-pixar007,child,4.249144422,0.18534323581600823,0.5231897729538155,1.0093387416281459,1.0093387416281459,1.0194026300587884,1.1638203668564198,1.1889035667106997,1.1889035667106997,1.1926155856886131
sub-pixar006,child,3.605749487,0.16620108727251584,0.7877247250119984,0.9989654726496829,1.0038918997563018,1.007968985569675,1.0326757090012324,0.9604043807919129,0.9969931951258114,1.2320328542094463
sub-pixar005,child,4.837782341,0.2115316554486786,0.7037475705725164,1.0000000000000029,1.0044281239874742,1.049342412088424,1.0736842105263147,1.1391646126174126,1.3711520365640535,1.4197823000473266
sub-pixar004,child,4.473648186,0.2181936053222459,0.7059938971116307,1.0170557807912777,1.046057169131732,1.1251622830215906,1.2885906040268456,1.410963347388906,1.615910503418273,1.615910503418273
sub-pixar003,child,4.153319644,0.2648363547180014,0.7928422093897453,1.0089903628484613,1.035004070240727,1.1115444617784727,1.1908288405711243,1.306129417790678,1.4487981560750738,1.5591562213390397
sub-pixar002,child,4.856947296,0.2325383262720925,0.8829181464414506,0.9992633635461092,0.9955984070425462,1.07095046854083,1.0796545105566255,1.0382089130588312,1.1152416356877335,0.9960159362549794
sub-pixar012,child,3.786447639,0.2022086581540603,0.5793673181930153,1.0189228529839913,1.0634648370497468,1.0634648370497468,1.0890454836643144,1.102333272092597,1.17803218848515,1.17803218848515
sub-pixar025,child,3.93155373,0.1353998899796158,0.848272855024411,0.9971217105263129,0.992871690427698,0.9829704677732283,1.0225905627589884,1.0426723305657453,1.152559177097538,1.0116731517509732
sub-pixar123,adult,27.06,0.23529657284888167,0.728127769010377,1.0086502366574206,1.0158254918733949,1.0238907849829353,1.006913134956416,1.1025808559294354,1.5957446808510627,1.2965425531914894
sub-pixar145,adult,22.0,0.30222930435232026,0.8666724362431018,0.9999382754151018,1.0023498311058878,1.0208373160007627,1.0633861551292745,1.3462347496844767,1.4788038120276055,2.267002518891685
sub-pixar144,adult,20.0,0.30639922033500677,0.7864904616574754,1.0091571668847,1.036530502069462,1.0392892076948153,1.0946519986929544,1.2100757326308855,1.2598137666605802,1.365546218487395
sub-pixar143,adult,22.0,0.26473582120407524,0.7161503773507325,1.008968609865476,1.035404141616566,1.0836527025241218,1.0881564422015475,1.2171267115844382,1.3528138528138525,1.6191904047976011
